time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073912
0.015000,0.523352
0.020000,-0.426485
0.025000,0.916230
0.030000,-0.296548
0.035000,0.182040
0.040000,-0.570204
0.045000,0.308738
0.050000,-1.086999
0.055000,-0.000887
0.060000,0.409058
0.065000,-0.801890
0.070000,0.973736
0.075000,0.596804
0.080000,0.175802
0.085000,0.493136
0.090000,0.763662
0.095000,-0.042358
0.100000,0.829661
0.105000,1.046161
0.110000,0.306728
0.115000,0.043240
0.120000,-0.155399
0.125000,-0.109586
0.130000,-1.014445
0.135000,-0.069601
0.140000,0.067634
0.145000,0.418166
0.150000,0.257596
0.155000,-0.602041
0.160000,0.448505
0.165000,-0.066315
0.170000,0.323212
0.175000,0.890209
0.180000,0.067806
0.185000,-0.644395
0.190000,-0.677239
0.195000,-0.022786
0.200000,0.694872
0.205000,-0.664970
0.210000,-0.500869
0.215000,0.153217
0.220000,-0.747413
0.225000,-0.189199
0.230000,0.077082
0.235000,-0.301598
0.240000,-0.252529
0.245000,-0.537133
0.250000,-0.081590
0.255000,-0.688579
0.260000,0.193273
0.265000,-0.270596
0.270000,-0.411174
0.275000,-0.510548
0.280000,0.084989
0.285000,0.246693
0.290000,-0.526004
0.295000,-0.290439
0.300000,-0.036923
0.305000,-0.317602
0.310000,0.595477
0.314999,-0.023661
0.319999,0.528224
0.324999,0.517865
0.329999,0.592985
0.334999,-0.112026
0.339999,-0.269406
0.344999,-0.041367
0.349999,-0.620107
0.354999,-0.196942
0.359999,0.128944
0.364999,0.507856
0.369999,1.163177
0.374999,0.266737
0.379999,-0.174221
0.384999,-0.624562
0.389999,0.289253
0.394998,0.176824
0.399998,-0.019299
0.404998,-0.827318
0.409998,0.235185
0.414998,-0.230364
0.419998,0.432298
0.424998,0.089069
0.429998,-0.554095
0.434998,-0.336530
0.439998,-0.227935
0.444998,0.039248
0.449998,-1.001926
0.454998,-1.228455
0.459998,0.027176
0.464998,0.349463
0.469997,-0.572146
0.474997,-0.512679
0.479997,0.882281
0.484997,0.188331
0.489997,-0.624609
0.494997,-0.126313
